iter	Passed	Remaining
973	38328	1023
974	38365	983
975	38403	944
976	38440	904
977	38478	865
978	38517	826
979	38556	786
980	38596	747
981	38637	708
982	38677	668
983	38713	629
984	38753	590
985	38790	550
986	38826	511
987	38863	472
988	38903	432
989	38944	393
990	38983	354
991	39022	314
992	39060	275
993	39098	236
994	39135	196
995	39174	157
996	39212	117
997	39249	78
998	39287	39
999	39325	0
