iter	Passed	Remaining
570	5536	4159
571	5546	4150
572	5556	4140
573	5566	4130
574	5576	4121
575	5586	4112
576	5596	4102
577	5606	4093
578	5615	4083
579	5625	4073
580	5635	4064
581	5645	4054
582	5655	4045
583	5665	4035
584	5674	4025
585	5683	4015
586	5693	4005
587	5702	3995
588	5712	3986
589	5722	3976
590	5731	3966
591	5741	3957
592	5751	3947
593	5760	3937
594	5770	3928
595	5780	3918
596	5790	3908
597	5800	3899
598	5809	3889
599	5819	3879
600	5828	3869
601	5838	3859
602	5847	3850
603	5857	3840
604	5867	3830
605	5876	3820
606	5885	3810
607	5895	3800
608	5905	3791
609	5914	3781
610	5924	3771
611	5933	3761
612	5943	3752
613	5952	3742
614	5962	3732
615	5972	3722
616	5981	3713
617	5991	3703
618	6000	3693
619	6010	3683
620	6020	3674
621	6030	3664
622	6040	3655
623	6050	3646
624	6061	3636
625	6071	3627
626	6081	3617
627	6091	3608
628	6100	3598
629	6110	3588
630	6119	3578
631	6130	3569
632	6139	3559
633	6149	3550
634	6159	3540
635	6169	3530
636	6179	3521
637	6188	3511
638	6198	3501
639	6207	3491
640	6217	3482
641	6227	3472
642	6237	3462
643	6247	3453
644	6256	3443
645	6267	3434
646	6277	3424
647	6287	3415
648	6297	3405
649	6307	3396
650	6316	3386
651	6326	3376
652	6336	3367
653	6346	3357
654	6356	3347
655	6365	3338
656	6375	3328
657	6385	3318
658	6395	3309
659	6405	3299
660	6414	3289
661	6423	3279
662	6433	3270
663	6443	3260
664	6452	3250
665	6462	3240
666	6472	3231
667	6481	3221
668	6491	3211
669	6501	3202
670	6511	3192
671	6521	3183
672	6532	3174
673	6543	3164
674	6552	3155
675	6563	3145
676	6573	3136
677	6583	3126
678	6594	3117
679	6604	3107
680	6614	3098
681	6624	3088
682	6634	3079
683	6644	3069
684	6655	3060
685	6664	3050
686	6673	3040
687	6683	3030
688	6692	3021
689	6702	3011
690	6711	3001
691	6721	2991
692	6731	2981
693	6740	2972
694	6750	2962
695	6760	2952
696	6769	2942
697	6779	2933
698	6789	2923
699	6798	2913
700	6808	2903
701	6817	2894
702	6827	2884
703	6837	2874
704	6847	2865
705	6857	2855
706	6866	2845
707	6877	2836
708	6887	2826
709	6897	2817
710	6907	2807
711	6919	2798
712	6929	2789
713	6939	2779
714	6949	2769
715	6958	2760
716	6969	2750
717	6978	2740
718	6988	2731
719	6998	2721
720	7008	2711
721	7017	2702
722	7027	2692
723	7037	2682
724	7048	2673
725	7057	2663
726	7067	2653
727	7077	2644
728	7086	2634
729	7096	2624
730	7106	2614
731	7116	2605
732	7125	2595
733	7135	2585
734	7145	2576
735	7155	2566
736	7165	2557
737	7175	2547
738	7185	2537
739	7195	2528
740	7205	2518
741	7215	2508
742	7225	2499
743	7235	2489
744	7245	2479
745	7255	2470
746	7265	2460
747	7275	2451
748	7285	2441
749	7295	2431
750	7305	2422
751	7315	2412
752	7325	2402
753	7335	2393
754	7344	2383
755	7354	2373
756	7364	2364
757	7374	2354
758	7384	2344
759	7394	2335
760	7404	2325
761	7414	2315
762	7423	2305
763	7433	2296
764	7443	2286
765	7452	2276
766	7462	2266
767	7472	2257
768	7481	2247
769	7491	2237
770	7501	2227
771	7510	2218
772	7520	2208
773	7530	2198
774	7539	2189
775	7549	2179
776	7559	2169
777	7570	2160
778	7580	2150
779	7591	2141
780	7602	2131
781	7613	2122
782	7624	2112
783	7635	2103
784	7644	2093
785	7654	2084
786	7664	2074
787	7673	2064
788	7682	2054
789	7692	2044
790	7701	2034
791	7711	2025
792	7720	2015
793	7730	2005
794	7739	1995
795	7749	1985
796	7758	1976
797	7768	1966
798	7777	1956
799	7787	1946
800	7796	1937
801	7806	1927
802	7816	1917
803	7826	1907
804	7836	1898
805	7848	1888
806	7859	1879
807	7869	1870
808	7879	1860
809	7889	1850
810	7899	1840
811	7908	1831
812	7918	1821
813	7927	1811
814	7937	1801
815	7947	1792
816	7956	1782
817	7966	1772
818	7975	1762
819	7985	1752
820	7994	1743
821	8004	1733
822	8013	1723
823	8023	1713
824	8033	1704
825	8044	1694
826	8054	1684
827	8064	1675
828	8073	1665
829	8083	1655
830	8092	1645
831	8102	1636
832	8111	1626
833	8120	1616
834	8130	1606
835	8139	1596
836	8149	1587
837	8158	1577
838	8168	1567
839	8177	1557
840	8187	1547
841	8196	1538
842	8205	1528
843	8215	1518
844	8224	1508
845	8233	1498
846	8243	1489
847	8253	1479
848	8264	1469
849	8273	1460
850	8283	1450
851	8293	1440
852	8303	1430
853	8314	1421
854	8324	1411
855	8334	1402
856	8343	1392
857	8353	1382
858	8362	1372
859	8372	1362
860	8382	1353
861	8391	1343
862	8401	1333
863	8410	1323
864	8420	1314
865	8429	1304
866	8438	1294
867	8448	1284
868	8458	1275
869	8467	1265
870	8476	1255
871	8486	1245
872	8496	1235
873	8506	1226
874	8515	1216
875	8525	1206
876	8535	1197
877	8545	1187
878	8555	1177
879	8565	1168
880	8575	1158
881	8585	1148
882	8595	1138
883	8605	1129
884	8615	1119
885	8625	1109
886	8634	1100
887	8644	1090
888	8654	1080
889	8664	1070
890	8674	1061
891	8684	1051
892	8694	1041
893	8703	1032
894	8714	1022
895	8724	1012
896	8733	1002
897	8744	993
898	8754	983
899	8764	973
900	8774	964
901	8784	954
902	8794	944
903	8804	935
904	8815	925
905	8824	915
906	8834	905
907	8844	896
908	8853	886
909	8863	876
910	8873	866
911	8883	857
912	8892	847
913	8901	837
914	8911	827
915	8921	818
916	8930	808
917	8940	798
918	8949	788
919	8959	779
920	8969	769
921	8979	759
922	8988	749
923	8998	740
924	9008	730
925	9018	720
926	9028	710
927	9038	701
928	9048	691
929	9058	681
930	9068	672
931	9077	662
932	9087	652
933	9096	642
934	9106	633
935	9115	623
936	9125	613
937	9135	603
938	9144	594
939	9154	584
940	9164	574
941	9173	564
942	9183	555
943	9192	545
944	9201	535
945	9211	525
946	9220	516
947	9230	506
948	9240	496
949	9250	486
950	9259	477
951	9269	467
952	9279	457
953	9288	447
954	9298	438
955	9307	428
956	9317	418
957	9326	408
958	9336	399
959	9345	389
960	9354	379
961	9364	369
962	9374	360
963	9383	350
964	9393	340
965	9402	330
966	9412	321
967	9421	311
968	9430	301
969	9440	291
970	9449	282
971	9458	272
972	9468	262
973	9477	253
974	9487	243
975	9496	233
976	9506	223
977	9515	214
978	9525	204
979	9534	194
980	9543	184
981	9553	175
982	9562	165
983	9572	155
984	9581	145
985	9590	136
986	9600	126
987	9609	116
988	9618	106
989	9628	97
990	9637	87
991	9647	77
992	9656	68
993	9665	58
994	9675	48
995	9684	38
996	9694	29
997	9703	19
998	9712	9
999	9722	0
